R2-USB1,155.22,43.00,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,128.14,42.58,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,76.09,24.76,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,74.43,24.74,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,48.23,25.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,46.25,25.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,40.47,25.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,30.69,50.96,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,9.19,100.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.95,108.91,180.00,,MYBUTTON
R_BOOT,20.63,108.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.51,52.64,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.61,108.74,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.33,14.28,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.51,108.72,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,155.22,8.92,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,66.50,8.32,0.00,,SJ
TP1,104.57,21.34,0.00,TPTP20R,TP20R
TP10,110.00,17.14,0.00,TPTP20R,TP20R
TP11,110.15,21.34,0.00,TPTP20R,TP20R
TP12,104.55,17.24,0.00,TPTP20R,TP20R
TP13,13.80,76.64,0.00,TPTP20R,TP20R
TP14,82.65,70.24,0.00,TPTP20R,TP20R
TP15,124.40,53.54,0.00,TPTP20R,TP20R
TP16,124.95,58.54,0.00,TPTP20R,TP20R
TP17,98.90,17.34,0.00,TPTP20R,TP20R
TP2,98.79,21.54,0.00,TPTP20R,TP20R
TP3,8.89,76.72,0.00,TPTP20R,TP20R
TP4,3.21,76.92,0.00,TPTP20R,TP20R
TP5,147.63,63.62,0.00,TPTP20R,TP20R
TP6,147.75,59.42,0.00,TPTP20R,TP20R
TP7,31.47,71.52,0.00,TPTP20R,TP20R
TP8,26.59,71.62,0.00,TPTP20R,TP20R
TP9,6.41,36.72,0.00,TPTP20R,TP20R
U1,128.36,46.69,90.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.12,57.59,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,36.09,58.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U4,137.45,49.92,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,84.55,56.80,270.00,DS3231SN#,SOIC127P1032X265-16N
